____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Tue Sep 16 17:13:26 2025
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

;Core 0
Idle; 100.0% 
;Core 1
Idle; 100.0% 
;Core 2
Idle; 100.0% 
;Core 3
Idle; 100.0% 
;Core 4
Idle; 100.0% 
;Core 8
Idle; 100.0% 
;Core 9
Idle; 100.0% 
;Core 10
Idle; 100.0% 
;Core 11
Idle; 100.0% 
;Core 16
Idle; 100.0% 
;Core 17
Idle; 100.0% 
;Core 18
Idle; 100.0% 
;Core 19
Idle; 100.0% 
;Core 20
Idle; 100.0% 
;Core 24
Idle; 100.0% 
;Core 25
Idle; 100.0% 
;Core 26
Idle; 100.0% 
;Core 27
Idle; 100.0% 
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

CPU 0;CPU 18
Idle; 100.0% ; 100.0% 
CPU 1;CPU 19
Idle; 100.0% ; 100.0% 
CPU 2;CPU 20
Idle; 100.0% ; 100.0% 
CPU 3;CPU 21
Idle; 100.0% ; 100.0% 
CPU 4;CPU 22
Idle; 100.0% ; 100.0% 
CPU 5;CPU 23
Idle; 100.0% ; 100.0% 
CPU 6;CPU 24
Idle; 100.0% ; 100.0% 
CPU 7;CPU 25
Idle; 100.0% ; 100.0% 
CPU 8;CPU 26
Idle; 100.0% ; 100.0% 
CPU 9
CPU 27;Idle; 100.0% 
 100.0% ;CPU 10
CPU 28;Idle; 100.0% 
 100.0% ;CPU 11
CPU 29;Idle; 100.0% 
 100.0% ;CPU 12
CPU 30;Idle; 100.0% 
 100.0% ;CPU 13
CPU 31;Idle; 100.0% 
 100.0% ;
CPU 14
CPU 32;Idle; 100.0% 
 100.0% ;CPU 15
CPU 33;Idle; 100.0% 
 100.0% ;CPU 16
CPU 34;Idle; 100.0% 
 100.0% ;CPU 17
CPU 35;Idle; 100.0% 
 100.0% ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
310.6 ms/s;6354.1;;;;Process;[PID 2624253] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  25.6 W  
268.0 ms/s;5849.4;;;;Process;[PID 2624245] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  23.5 W  
237.9 ms/s;5229.7;;;;Process;[PID 2624251] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  21.0 W  
240.0 ms/s;5187.0;;;;Process;[PID 2624249] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  20.9 W  
232.0 ms/s;4831.7;;;;Process;[PID 2624247] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  19.4 W  
 17.7 ms/s;3137.6;;;;Timer;tick_sched_timer;  12.4 W  
144.3 ms/s;2699.7;;;;Process;[PID 2624252] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  10.9 W  
 20.5 ms/s;2340.7;;;;Interrupt;[88] nvme3q4;  9.28 W  
 86.4 ms/s;1805.4;;;;Process;[PID 2624248] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  7.27 W  
 12.9 ms/s;1298.8;;;;Interrupt;[93] nvme3q9;  5.15 W  
  3.2 ms/s;1155.0;;;;Interrupt;[194] nvme2q12;  4.57 W  
  9.6 ms/s;1053.0;;;;Interrupt;[130] nvme3q16;  4.17 W  
  3.4 ms/s;703.2;;;;Interrupt;[74] nvme2q1;  2.78 W  
  7.8 ms/s;696.7;;;;Process;[PID 4956] kube-apiserver --advertise-address=172.19.0.4 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-fil;  2.76 W  
 15.3 ms/s;679.1;;;;Interrupt;[102] nvme1q13;  2.71 W  
149.4 ms/s;598.4;;;;Process;[PID 2624294] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  2.60 W  
  2.3 ms/s;564.1;;;;Interrupt;[100] nvme1q12;  2.23 W  
 13.1 ms/s;539.0;;;;Interrupt;[129] nvme1q15;  2.15 W  
  5.7 ms/s;496.3;;;;Process;[PID 4952] etcd --advertise-client-urls=https://172.19.0.4:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-a;  1.97 W  
  5.1 ms/s;440.7;;;;Interrupt;[81] nvme1q9;  1.75 W  
  1.5 ms/s;438.8;;;;Interrupt;[203] nvme2q18;  1.74 W  
  6.1 ms/s;433.3;;;;Interrupt;[170] nvme2q10;  1.72 W  
 40.5 ms/s;298.7;;;;Timer;hrtimer_wakeup;  1.24 W  
  9.7 ms/s;299.7;;;;Interrupt;[107] nvme3q14;  1.20 W  
  6.8 ms/s;285.7;;;;Interrupt;[94] nvme3q10;  1.14 W  
  1.8 ms/s;249.6;;;;Interrupt;[98] nvme3q13;  989 mW  
  2.2 ms/s;222.7;;;;Process;[PID 4446] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet.;  883 mW  
  1.3 ms/s;222.7;;;;Interrupt;[169] nvme2q9;  882 mW  
  2.3 ms/s;215.2;;;;Process;[PID 4260] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet.;  854 mW  
  3.6 ms/s;196.7;;;;Interrupt;[106] nvme1q14;  782 mW  
  2.2 ms/s;193.0;;;;Process;[PID 4257] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet.;  766 mW  
  0.9 ms/s;190.2;;;;Interrupt;[197] nvme2q14;  753 mW  
  2.7 ms/s;180.9;;;;Process;[PID 2169] /opt/todesk/bin/ToDesk ;  719 mW  
  2.7 ms/s;179.1;;;;Process;[PID 2203] /opt/todesk/bin/ToDesk ;  711 mW  
  2.8 ms/s;178.1;;;;Process;[PID 2530727] /opt/todesk/bin/ToDesk_Service ;  708 mW  
 15.4 ms/s;167.9;;;;Process;[PID 2513] /opt/todesk/bin/ToDesk_Service ;  687 mW  
  2.2 ms/s;172.6;;;;Process;[PID 2204] /opt/todesk/bin/ToDesk ;  685 mW  
  1.1 ms/s;160.5;;;;Interrupt;[122] nvme4q16;  636 mW  
 10.6 ms/s;152.2;;;;Interrupt;[85] nvme3q1;  618 mW  
  2.3 ms/s;150.3;;;;Process;[PID 2514] /opt/todesk/bin/ToDesk_Service ;  597 mW  
  1.9 ms/s;127.1;;;;Process;[PID 4980] kube-controller-manager --allocate-node-cidrs=true --authentication-kubeconfig=/etc/kubernetes/controller-manager.co;  505 mW  
  3.1 ms/s;106.7;;;;Interrupt;[171] nvme2q11;  426 mW  
153.6 ms/s; 42.7;;;;Process;[PID 2059] /opt/todesk/bin/ToDesk ;  408 mW  
  1.9 ms/s; 96.5;;;;Process;[PID 1362] /usr/local/sunlogin/bin/oray_rundaemon -m server ;  384 mW  
  2.0 ms/s; 94.6;;;;Process;[PID 2530765] /usr/local/sunlogin/bin/sunloginclient -m service ;  377 mW  
  1.7 ms/s; 93.7;;;;Process;[PID 1454] /usr/local/sunlogin/bin/sunloginclient -m service ;  373 mW  
  1.8 ms/s; 92.8;;;;Process;[PID 1463] /usr/local/sunlogin/bin/sunloginclient -m service ;  369 mW  
  1.5 ms/s; 90.9;;;;Process;[PID 1448] /usr/local/sunlogin/bin/sunloginclient -m service ;  361 mW  
  1.7 ms/s; 89.1;;;;Process;[PID 1452] /usr/local/sunlogin/bin/sunloginclient -m service ;  354 mW  
  1.8 ms/s; 87.2;;;;Process;[PID 1453] /usr/local/sunlogin/bin/sunloginclient -m service ;  347 mW  
  1.4 ms/s; 84.4;;;;Process;[PID 14] [rcu_sched];  336 mW  
  7.2 ms/s; 79.8;;;;Interrupt;[3] net_rx(softirq);  326 mW  
  1.9 ms/s; 79.8;;;;Interrupt;[108] nvme3q15;  318 mW  
  5.8 ms/s; 77.9;;;;Process;[PID 5014] kube-controller-manager --allocate-node-cidrs=true --authentication-kubeconfig=/etc/kubernetes/controller-manager.co;  317 mW  
445.6 us/s; 74.2;;;;Interrupt;[115] nvme4q9;  294 mW  
106.3 ms/s; 30.6;;;;Process;[PID 2624250] /home/zhining/rocksdb-9.0.0-CSD-RAID/db_bench --db=/mnt/smartssd3/czn/rocksdb_array_cpu --benchmarks=fillrandom,s;  287 mW  
 13.9 ms/s; 63.1;;;;Process;[PID 5279] kube-apiserver --advertise-address=172.19.0.4 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-fil;  271 mW  
  3.0 ms/s; 65.9;;;;Interrupt;[82] nvme1q10;  265 mW  
  4.6 ms/s; 62.2;;;;Process;[PID 7371] kube-controller-manager --allocate-node-cidrs=true --authentication-kubeconfig=/etc/kubernetes/controller-manager.co;  253 mW  
  8.0 ms/s; 53.8;;;;Interrupt;[175] nvme1q18;  225 mW  
 10.8 ms/s; 49.2;;;;Process;[PID 4987] kube-apiserver --advertise-address=172.19.0.4 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-fil;  211 mW  
112.2 ms/s;  2.8;;;;Process;[PID 297] [kswapd0];  186 mW  
406.9 us/s; 46.4;;;;Process;[PID 4140] /usr/local/bin/containerd ;  184 mW  
513.8 us/s; 39.9;;;;Process;[PID 3923] /usr/local/bin/containerd ;  158 mW  
 10.1 ms/s; 35.3;;;;Process;[PID 4986] etcd --advertise-client-urls=https://172.19.0.4:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-a;  155 mW  
 41.7 ms/s; 21.3;;;;Process;[PID 4860] etcd --advertise-client-urls=https://172.19.0.4:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-a;  149 mW  
 12.3 ms/s; 32.5;;;;kWork;drain_local_pages_wq;  147 mW  
  7.3 ms/s; 27.8;;;;Process;[PID 5285] etcd --advertise-client-urls=https://172.19.0.4:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-a;  121 mW  
330.7 us/s; 29.7;;;;Process;[PID 3951] /usr/local/bin/containerd ;  118 mW  
185.5 us/s; 27.8;;;;Process;[PID 5592] /usr/local/bin/kube-proxy --config=/var/lib/kube-proxy/config.conf --hostname-override=kind-worker2 ;  110 mW  
  8.4 ms/s; 24.1;;;;Process;[PID 4997] etcd --advertise-client-urls=https://172.19.0.4:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-a;  108 mW  
393.2 us/s; 25.0;;;;Interrupt;[116] nvme4q10; 99.6 mW  
  7.8 ms/s; 20.4;;;;Process;[PID 5287] etcd --advertise-client-urls=https://172.19.0.4:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-a; 92.7 mW  
  1.6 ms/s; 22.3;;;;Process;[PID 4332] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet.; 90.4 mW  
  3.8 ms/s; 21.3;;;;Process;[PID 662822] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubele; 90.2 mW  
417.3 us/s; 22.3;;;;kWork;psi_avgs_work; 88.6 mW  
 52.0 ms/s;  1.9;;;;Process;[PID 236] [kcompactd0]; 88.5 mW  
  9.0 ms/s; 18.6;;;;Process;[PID 4970] etcd --advertise-client-urls=https://172.19.0.4:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-a; 87.4 mW  
 13.6 ms/s; 14.8;;;;Process;[PID 2536185] /home/zhining/.vscode-server/cli/servers/Stable-f220831ea2d946c0dcb0f3eaa480eb435a2c1260/server/node --dns-result; 79.8 mW  
 15.3 ms/s; 13.0;;;;Process;[PID 4989] kube-apiserver --advertise-address=172.19.0.4 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-fil; 75.2 mW  
  3.4 ms/s; 17.6;;;;Process;[PID 4295] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet.; 74.9 mW  
  5.1 ms/s; 16.7;;;;Process;[PID 4979] etcd --advertise-client-urls=https://172.19.0.4:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-a; 73.9 mW  
297.6 us/s; 18.6;;;;Process;[PID 2356] /opt/todesk/bin/ToDesk_Service ; 73.8 mW  
 40.0 ms/s;  2.8;;;;Process;[PID 2660013] powertop --csv=./report/report.csv -t 1 -i 600 ; 73.5 mW  
  8.0 ms/s; 13.9;;;;Process;[PID 2536140] /home/zhining/.vscode-server/cli/servers/Stable-f220831ea2d946c0dcb0f3eaa480eb435a2c1260/server/node /home/zhinin; 67.4 mW  
  2.5 ms/s; 15.8;;;;Process;[PID 5348] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet.; 66.2 mW  
 31.2 us/s; 16.7;;;;kWork;vmpressure_work_fn; 66.0 mW  
  8.2 ms/s; 13.0;;;;Process;[PID 5000] kube-apiserver --advertise-address=172.19.0.4 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-fil; 64.0 mW  
  0.8 ms/s; 15.8;;;;Interrupt;[120] nvme4q14; 63.5 mW  
  3.1 ms/s; 14.8;;;;Process;[PID 6931] kube-controller-manager --allocate-node-cidrs=true --authentication-kubeconfig=/etc/kubernetes/controller-manager.co; 63.5 mW  
  6.8 ms/s; 13.0;;;;Process;[PID 4648] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet.; 62.0 mW  
139.2 us/s; 14.8;;;;Process;[PID 6120] /coredns -conf /etc/coredns/Corefile ; 58.9 mW  
 10.3 ms/s; 10.2;;;;Process;[PID 5004] kube-apiserver --advertise-address=172.19.0.4 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-fil; 56.4 mW  
359.0 us/s; 13.9;;;;Process;[PID 4985] kube-scheduler --authentication-kubeconfig=/etc/kubernetes/scheduler.conf --authorization-kubeconfig=/etc/kubernetes; 55.5 mW  
299.2 us/s; 13.9;;;;Process;[PID 2364] /usr/sbin/zerotier-one ; 55.4 mW  
 25.8 ms/s;  3.7;;;;Interrupt;[7] sched(softirq); 54.9 mW  
  1.5 ms/s; 13.0;;;;Process;[PID 18157] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet; 53.7 mW  
  1.2 ms/s; 13.0;;;;Process;[PID 4286] /usr/bin/kubelet --bootstrap-kubeconfig=/etc/kubernetes/bootstrap-kubelet.conf --kubeconfig=/etc/kubernetes/kubelet.; 53.2 mW  
300.5 us/s; 13.0;;;;Interrupt;[121] nvme4q15; 51.8 mW  
 32.6 ms/s;;;;;Process;[PID 2666799] sh; 50.8 mW  


The system baseline power is estimated at:  214  W;
____________________________________________________________________
 *  *  *   Device Power Report   *  *  *

